password,last_login,user_id,user_name,user_type,is_admin,is_active
pbkdf2_sha256$216000$vFoB4UcEZho5$Ne6IaU352Y5Tm40yaFw3SkRnUDDjbewwjxybJjfaYYw=,,00000001,student1,S,0,1
pbkdf2_sha256$216000$Fxx95cQh0TbE$rK7aNnARXxud4VlgJEXG6uO7i82Pk2qdz6hxGLhh4LA=,,00000002,student2,S,0,1
pbkdf2_sha256$216000$VvXmVvzK2E80$vbwauP5zUIE0kSEz+zjaLjX4V6TYMa5LD9HJZhuf8Hg=,,00000003,student3,S,0,1
pbkdf2_sha256$216000$Q9wRiE5mLLNg$vqndqb4rRNuB6pwAvayBaev81Gg9oZE0kPCLzu7fIFg=,,00000004,student4,S,0,1
pbkdf2_sha256$216000$j75m0WWKFw9R$/rx2VJfHkxbzsiYodZOQXvqHlOBwS9EHgpwoeMb5OG4=,,00000005,student5,S,0,1
pbkdf2_sha256$216000$3lfss4yOWqfT$ScTIjjrbN+LS4BdmuzxZDA54GNxYN+Umcgf/NyqduOU=,,00000006,student6,S,0,1
pbkdf2_sha256$216000$7nJ28jO0QbIZ$BxCz+q0Q4NNF0W6V5YU/zG0XFciN4V+TfY3/t127TbU=,,00000007,student7,S,0,1
pbkdf2_sha256$216000$Ryw22lgKh9xY$jEeuKz6zxndze6q6eBx9Cux8lgZ/kCIyomoMTYaIDYs=,,00000008,student8,S,0,1
pbkdf2_sha256$216000$4IXhWWZCoLYq$O91MJGs+Ej+gq1SKtFqKtTKv8b8mnHMsjuNa7RKKYKE=,,00000009,student9,S,0,1
pbkdf2_sha256$216000$iMgzjAgG4rHp$6nsQYuAtPYDvXNq1OY9QIiFygVpWLGGUoI0bGuv71fA=,,00000010,student10,S,0,1
pbkdf2_sha256$216000$Kj8JcHZYc2YA$2KMojQXmGsmjOLcpPcejS5r4a7Wlb6p0eio9ZoNTUrM=,,00000011,student11,S,0,1
pbkdf2_sha256$216000$8UiRlkfeSQpV$DKTs8C6L2gXCf2Cv1tNOPf6jP8Ehnx5+Uk+MUaFTEWo=,,00000012,student12,S,0,1
pbkdf2_sha256$216000$YOQV3plK7eh7$/YdtDDeuWemmjgmR7CV31eh/efD1kV1KnOBNax5m7iY=,,00000013,student13,S,0,1
pbkdf2_sha256$216000$r1duS3tsgkM3$ByFc6yscPL+UFo7tqpygbtPRfirlklWkx7Y5joNY/Mo=,,00000014,student14,S,0,1
pbkdf2_sha256$216000$qChHXt6j2v0S$kh9iygZmvVbAndy4kPEGGmj7xQWrb6jPBgm1O4xSOec=,,1001,teacher1,T,0,1
pbkdf2_sha256$216000$ZYihLe4oIHNN$YR6Kw5nvDFZ4djNjucT4Oy/wfEqn5K/ZVow+4nzIxxM=,,1002,teacher2,T,0,1
pbkdf2_sha256$216000$OK5oQsDoPscs$pAVmP+0K0DV0p2peEcWhxHYi4yZaFNi86wzaT/JVGNc=,,1003,teacher3,T,0,1
pbkdf2_sha256$216000$Qx7BYf66JBFx$VtxPsZ2WJ+qYn7ry7tEDDUANgHSLT2iZzeFtTxChRWg=,,1004,teacher4,T,0,1
pbkdf2_sha256$216000$4KckZ88LWigg$Y1AYtBQO9WJxVTG9qVDIBZQI22ICjCxvBZ0fJVZOYVY=,,1005,teacher5,T,0,1
pbkdf2_sha256$216000$fRRkXJYcij8Q$ZMSScQgDK1NigddERQUSMtcPLiglkHFROd0aUyTDd5k=,,1006,teacher6,T,0,1
pbkdf2_sha256$216000$iUHaprwc8OLJ$6s2D+RJ2igENPbVfnfwyGAi9dv/ByPMoG9AhrcA9Sa8=,,1007,teacher7,T,0,1
pbkdf2_sha256$216000$mCIl8pID3N4q$VGyRZbrlmiQye7NNdLwDj3TkSlcQM/C550ZTb9tGAgo=,,1008,teacher8,T,0,1
pbkdf2_sha256$216000$fygfd9Dgqz29$nm1E8SPiJZMenzwdChE+oLvoU6UCcD1U5kqM9Q2sGdU=,,1009,teacher9,T,0,1
pbkdf2_sha256$216000$62Xk6RRdR0Wi$WLIbAI70R0ELmH3lDyKY+GvJjLp4n9Fxz8sLzsOxEoo=,,1010,teacher10,T,0,1
pbkdf2_sha256$216000$1DJhWCXwakzf$l7AovrEAPr8HR5Pt29NH7aB8AE94c9m2MMs6ElpTzWA=,,1011,teacher11,T,0,1
pbkdf2_sha256$216000$ULmvCPYmsVIo$FkEGfCXCZyjO9y99xgSRfN+c/1UAd2rpSH4/k09+5IE=,,1012,teacher12,T,0,1
pbkdf2_sha256$216000$MBQb1Iv7JsDc$7QxYdnm9FCPsKnW5IwvfB1Be2y0qvEGgVvOXI5GZe80=,,1013,teacher13,T,0,1
pbkdf2_sha256$216000$Y0vl7KqRyFig$4QAtJoTElGUskBztgktmaUZWVJyCL+WbSazVgy+WcXM=,,1014,teacher14,T,0,1
pbkdf2_sha256$216000$oIrOBxn3zum9$nfzgkgE405kFM+b7g5LKo9Zs8M8iVc4XV65WCZ1u/Kg=,,9001,admin123,A,1,1
pbkdf2_sha256$216000$X8Dyxar5UTtI$HqjL9Kh6l7UAC+ACJ4IM1vGjs53G07nynKOpvb7Jehg=,,9003,admin123,A,1,1
pbkdf2_sha256$216000$ryWWnvkfRp6W$NL3gweGhVVazUSBERaa+bMpLHxdo3XntuFZJapNkUv4=,,9002,admin123,A,1,1
